R1,0.246
R2,0.291
R3,0.188
R4,0.153
R5,0.122
R11,0.31
R12,0.183
R13,0.258
R14,0.249
R21,0.281
R22,0.406
R23,0.124
R24,0.189
R31,0.39
R32,0.176
R33,0.283
R34,0.15
R41,0.275
R42,0.154
R43,0.181
R44,0.214
R45,0.176
R51,0.388
R52,0.357
R53,0.255
